numeroParcela;valorParcela;dataVencimentoParcela;origem_arquivo
1;29.49;2020-07-24;parcelas_03113ab1-cdbe-44a7-a94f-05037724b3bd.csv
1;87333.33;2020-01-28;parcelas_03171f7f-876f-4f48-854c-8feeb057204b.csv
1;1425;2020-03-27;parcelas_031b0c12-3b85-4cac-8f77-c4b8e4c002e7.csv
1;66.7;2020-04-30;parcelas_031c4e7d-effb-4870-a25e-dc5da305efd9.csv
1;1300.02;2020-08-20;parcelas_03264e1a-d0e4-4f8a-9073-ad29587c32e8.csv
1;46975.83;2020-05-27;parcelas_032685eb-0fde-4fb4-85e9-34e3722e8fe5.csv
1;40000;2020-10-07;parcelas_0327b199-adfd-4c04-adf4-ab374e395122.csv
1;19.37;2020-07-31;parcelas_0329c8f9-7ca1-4098-8cec-fcf691d328c7.csv
1;88250.71;2020-03-30;parcelas_032bf697-ca3d-49a5-8d61-f027631297c4.csv
1;2233.01;2020-12-30;parcelas_032d128c-6bba-4627-b9d8-77d2d5828142.csv
1;1698.1;2020-11-27;parcelas_032ecd71-7ec8-463e-9d71-f591d16d57a8.csv
1;15692;2020-09-08;parcelas_033319f9-372f-479c-8392-5b09df196e50.csv
1;1935;2020-01-23;parcelas_03339a8c-fad2-486b-9ce1-db4fd72eaf05.csv
1;148870.68;2020-07-21;parcelas_03362ab0-9232-495a-83ed-4be684065bc4.csv
1;66.7;2020-04-24;parcelas_0336ae9a-aad9-4d0b-ba62-bd33633e22c0.csv
1;20049.09;2020-10-30;parcelas_033c7771-9547-484f-b1dc-497ae41b2e90.csv
1;29.49;2020-07-01;parcelas_033ce927-7355-4ec0-a8b0-e9da8af84d55.csv
1;29.49;2020-12-15;parcelas_033fea3d-7bcd-48d6-9604-8a0b2d45a125.csv
1;7487.8;2020-08-19;parcelas_034045d6-76f3-4f8b-8277-56cbabfd7bbc.csv
1;863.33;2020-06-26;parcelas_03457bba-e0a8-4e0a-93d4-f0d8993d63d9.csv
1;31167.75;2020-01-10;parcelas_034ccfaa-9529-45ce-82e7-ff87e8594a3f.csv
1;19045.37;2020-11-27;parcelas_03516b9e-f7cd-49a0-9722-d9cad23d927f.csv
1;52650;2020-01-02;parcelas_0357ad84-c03e-48c6-a07e-50415d7ba470.csv
1;70;2020-11-18;parcelas_035d6ca7-dc53-46d4-b081-2c60fa30a528.csv
1;109037;2020-04-16;parcelas_035e3ca9-6041-4ad3-8d5f-7c95c550f094.csv
1;493.98;2020-01-23;parcelas_035ea527-6426-4b5a-bc2e-26700917dfee.csv
1;405.35;2020-08-19;parcelas_03700148-d252-4f89-a72f-228816052f9e.csv
1;10000;2020-03-04;parcelas_0373a81a-61e1-4861-bd8e-ba9f27e8bac8.csv
1;3000;2020-10-28;parcelas_03768d85-6c68-4dcf-b20c-d5ac6a65c699.csv
1;25628.24;2020-02-19;parcelas_03778c13-ccef-404e-96a1-2846912276fb.csv
