anoRetencao;dataRetencao;valorRetido;origem_arquivo
2019;2019-10-07;9.96;retencoesLiquidacao_038518a5-de69-4fc8-9f2e-036f0edc26de.csv
2019;2019-10-07;5.98;retencoesLiquidacao_038518a5-de69-4fc8-9f2e-036f0edc26de.csv
2019;2019-05-13;0.96;retencoesLiquidacao_03a61121-1eaf-45ab-af73-7a3b82e0de65.csv
2019;2019-05-13;0.4;retencoesLiquidacao_03a61121-1eaf-45ab-af73-7a3b82e0de65.csv
2019;2019-05-13;0.24;retencoesLiquidacao_03a61121-1eaf-45ab-af73-7a3b82e0de65.csv
2019;2019-10-09;31.15;retencoesLiquidacao_03aab9b9-897c-469d-b6ef-1994db5803dd.csv
2019;2019-10-09;124.58;retencoesLiquidacao_03aab9b9-897c-469d-b6ef-1994db5803dd.csv
2019;2019-10-09;51.91;retencoesLiquidacao_03aab9b9-897c-469d-b6ef-1994db5803dd.csv
2019;2019-09-03;210.08;retencoesLiquidacao_03ad829c-f28f-4629-8e27-73c99446eb41.csv
2019;2019-09-03;87.54;retencoesLiquidacao_03ad829c-f28f-4629-8e27-73c99446eb41.csv
2019;2019-09-03;52.52;retencoesLiquidacao_03ad829c-f28f-4629-8e27-73c99446eb41.csv
2019;2019-07-31;1042.37;retencoesLiquidacao_03b09412-ad47-4bb0-b865-7f04c7621ea9.csv
2019;2019-03-01;670;retencoesLiquidacao_03b3a5ca-8972-45e7-9616-b9078cfce380.csv
2019;2019-12-19;1955.77;retencoesLiquidacao_03bedf83-901d-4574-a264-c74ad6f66873.csv
2019;2019-12-19;317.12;retencoesLiquidacao_03bedf83-901d-4574-a264-c74ad6f66873.csv
2019;2019-12-19;3460.77;retencoesLiquidacao_03bedf83-901d-4574-a264-c74ad6f66873.csv
2019;2019-12-19;734.73;retencoesLiquidacao_03bedf83-901d-4574-a264-c74ad6f66873.csv
2019;2019-12-19;1372.06;retencoesLiquidacao_03bedf83-901d-4574-a264-c74ad6f66873.csv
2019;2019-12-19;401.83;retencoesLiquidacao_03bedf83-901d-4574-a264-c74ad6f66873.csv
2019;2019-12-19;510.76;retencoesLiquidacao_03bedf83-901d-4574-a264-c74ad6f66873.csv
2019;2019-12-19;52.64;retencoesLiquidacao_03bedf83-901d-4574-a264-c74ad6f66873.csv
2019;2019-12-19;5;retencoesLiquidacao_03bedf83-901d-4574-a264-c74ad6f66873.csv
2019;2019-12-19;1995.34;retencoesLiquidacao_03bedf83-901d-4574-a264-c74ad6f66873.csv
2019;2019-12-19;88.59;retencoesLiquidacao_03bedf83-901d-4574-a264-c74ad6f66873.csv
2019;2019-12-19;34.2;retencoesLiquidacao_03bedf83-901d-4574-a264-c74ad6f66873.csv
2019;2019-08-27;970.82;retencoesLiquidacao_03dcecfb-01bf-41a8-82a8-6a99cad6043e.csv
2019;2019-08-27;1294.42;retencoesLiquidacao_03dcecfb-01bf-41a8-82a8-6a99cad6043e.csv
2019;2019-01-07;2190.02;retencoesLiquidacao_03df3543-334a-48d1-b874-3678b7cf6514.csv
2019;2019-10-01;6;retencoesLiquidacao_04003c32-9963-4031-9711-9c7558818b92.csv
