idLiquidacao;data;parcela;valor;valorRestosNaoProcessados;anulacoesLiquidacao;retencoesLiquidacao;origem_arquivo
10252;2019-11-21;1;79.79;0; ; ;liquidacoes_905ab883-3f47-4f80-b41a-380e4e453644.csv
10382;2019-11-27;1;140000;0; ; ;liquidacoes_905bdbcc-820a-4920-a143-1eadafd02737.csv
80;2019-01-11;1;104.13;0; ;retencoesLiquidacao_17340d88-d07d-4a2e-aa00-8076da4fff91.csv;liquidacoes_905fcb8a-45b2-4a68-b8a3-8c91e2bbb1fe.csv
4000;2019-05-15;1;504;0; ; ;liquidacoes_9066900b-6aaa-41f6-84d4-da6a93788e35.csv
3776;2019-08-27;1;3506.56;0; ; ;liquidacoes_9069b7fd-ef3e-4433-acf3-9978d7fd6a22.csv
1230;2019-02-22;1;3757.69;0; ; ;liquidacoes_907dc6bf-8518-4cb9-bc96-5da46efcdbe0.csv
8858;2019-10-04;1;79.79;0; ; ;liquidacoes_907fa91d-bf35-409b-b930-9d1d8f94e4d6.csv
11626;2019-12-19;1;132168.57;0; ;retencoesLiquidacao_18cf9745-d598-413f-9ae0-019609df409d.csv;liquidacoes_9087b25d-1663-499c-94a9-d1e6fe6da082.csv
11232;2019-12-16;1;82.66;0; ; ;liquidacoes_908977cd-cdb9-4325-a942-b72e25cf90d2.csv
758;2019-03-11;1;391.29;0; ; ;liquidacoes_908dd0f3-9df3-4f0b-8a95-62bc2b92b20d.csv
106;2019-02-12;1;4197.6;0; ; ;liquidacoes_908fef3b-6568-4316-ac6d-13a361a1e79a.csv
9732;2019-10-01;1;150837.68;0; ;retencoesLiquidacao_d1d74e13-b617-4d52-ae38-062233b0275a.csv;liquidacoes_9096e789-7f7d-4bfa-9330-19a7cb3e5528.csv
5250;2019-11-22;1;39.89;0; ; ;liquidacoes_90976eee-c431-47f8-95d0-9dbf9b82472c.csv
2201;2019-03-22;1;13705.82;0; ; ;liquidacoes_909cf6de-a8b2-4b6e-bad2-f667f2e84773.csv
3926;2019-05-21;1;1358.75;0; ; ;liquidacoes_909e08ff-1050-442b-90c8-062763bf3011.csv
2916;2019-04-16;1;5264.2;0; ; ;liquidacoes_90a01b94-4da7-4ebb-abee-625c10a1d76b.csv
860;2019-03-18;1;10610.41;0; ; ;liquidacoes_90af3886-677c-4eb1-b8fc-894289eab12b.csv
3805;2019-08-27;1;26250;0; ; ;liquidacoes_90b3ce62-701d-45c2-8bd3-5f3a1be0ab4d.csv
2509;2019-06-19;1;4095.83;0; ;retencoesLiquidacao_b9217af4-c699-45da-bdb9-78b5701914ba.csv;liquidacoes_90b58153-ce1e-4aa8-b6b4-c918494dc9c4.csv
7506;2019-08-27;1;59751.13;0; ;retencoesLiquidacao_db142d73-306b-4d08-a8f6-325215059c50.csv;liquidacoes_90b6ba42-2967-4716-ad7c-09d0a939cb12.csv
11288;2019-11-29;1;2162.32;0; ; ;liquidacoes_90bd01f9-636f-47d9-b11e-a8e95ed2353e.csv
4661;2019-06-10;1;104.13;0; ; ;liquidacoes_90d20f64-1eb4-490e-a0ff-0f054452ce8c.csv
25;2019-01-23;1;2803.24;0; ;retencoesLiquidacao_f9575acf-7246-4402-be1f-4d9c7c8dad76.csv;liquidacoes_90d44d73-d994-4c4d-9a0e-146ee72511e9.csv
26;2019-01-23;1;3412.64;0; ;retencoesLiquidacao_a870a0e3-14d1-4a1a-bef7-85c3efe962b8.csv;liquidacoes_90d44d73-d994-4c4d-9a0e-146ee72511e9.csv
89;2019-01-31;1;2803.24;0; ;retencoesLiquidacao_391f2c35-edcc-45c9-a9cb-6d734ad6e2a3.csv;liquidacoes_90d44d73-d994-4c4d-9a0e-146ee72511e9.csv
90;2019-01-31;1;3412.64;0; ;retencoesLiquidacao_07db7de2-23f8-427f-8584-0667ecee7452.csv;liquidacoes_90d44d73-d994-4c4d-9a0e-146ee72511e9.csv
