descricao;idItem;numero;quantidade;situacao;unidadeMedida;valorTotal;valorUnitario;origem_arquivo
Especulo vaginal, descartÃ¡vel, estÃ©ril, sem lubrificaÃ§Ã£o G;1265382;84;1000;ATIVO;UNIDADE;1200.0;1.2;itens_c2189ec4-602f-412b-9af0-f785046cdffe.csv
ABAIXADOR DE LINGUA;1265383;1;750;ATIVO;PACOTE;5737.5;7.65;itens_c2189ec4-602f-412b-9af0-f785046cdffe.csv
Especulo vaginal, descartÃ¡vel, estÃ©ril, sem lubrificaÃ§Ã£o P;1265384;85;7000;ATIVO;UNIDADE;5810.0;0.83;itens_c2189ec4-602f-412b-9af0-f785046cdffe.csv
Lanceta do paciente - refil;1265385;117;200000;ATIVO;UNIDADE;18000.0;0.09;itens_c2189ec4-602f-412b-9af0-f785046cdffe.csv
PinÃ§a Cheron descartÃ¡vel, em polietileno cristal ou cor bran;1265387;145;400;ATIVO;UNIDADE;372.0;0.93;itens_c2189ec4-602f-412b-9af0-f785046cdffe.csv
Seringa 3ml, sem agulha;1265388;159;40000;ATIVO;UNIDADE;4600.0;0.115;itens_c2189ec4-602f-412b-9af0-f785046cdffe.csv
Seringa 5ml, sem agulha;1265389;160;40000;ATIVO;UNIDADE;5160.0;0.129;itens_c2189ec4-602f-412b-9af0-f785046cdffe.csv
Seringa 1ml, sem agulha;1265390;161;30000;ATIVO;UNIDADE;3570.0;0.119;itens_c2189ec4-602f-412b-9af0-f785046cdffe.csv
Seringa 60ml, sem agulha;1265391;162;500;ATIVO;UNIDADE;815.0;1.63;itens_c2189ec4-602f-412b-9af0-f785046cdffe.csv
Tampa Universal Luer Lock, estÃ©ril, epirogÃªnica;1265392;216;200;ATIVO;UNIDADE;48.0;0.24;itens_c2189ec4-602f-412b-9af0-f785046cdffe.csv
Teste rapido de gravidez;1265393;217;12000;ATIVO;UNIDADE;7080.0;0.59;itens_c2189ec4-602f-412b-9af0-f785046cdffe.csv
PinÃ§a Kelly curva 16cm.;1265394;231;10;ATIVO;UNIDADE;250.0;25.0;itens_c2189ec4-602f-412b-9af0-f785046cdffe.csv
PinÃ§a anatÃ´mica Adson com dente 12cm;1265395;233;30;ATIVO;UNIDADE;309.0;10.3;itens_c2189ec4-602f-412b-9af0-f785046cdffe.csv
Gel lubrificante;1265396;105;200;ATIVO;UNIDADE;1344.0;6.72;itens_c2189ec4-602f-412b-9af0-f785046cdffe.csv
MÃ¡scara facial de oxigÃªnio venturi/adulto, nÃ£o estÃ©ril (Kit;1265398;139;30;ATIVO;UNIDADE;306.9;10.23;itens_c2189ec4-602f-412b-9af0-f785046cdffe.csv
7079962120 REPARO;1298342;2584;2;ATIVO;UNIDADE;1244.24;622.12;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
4188151221 CANTO;1298343;2580;8;ATIVO;UNIDADE;1661.28;207.66;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
4192232410 SEMI EIXO;1298348;2535;2;ATIVO;UNIDADE;3850.42;1925.21;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
4192034650 ESPACADOR;1298349;2534;1;ATIVO;UNIDADE;176.47;176.47;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
07000A6210 ANEL;1298350;2518;1;ATIVO;UNIDADE;86.45;86.45;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
